mfiid,year,liabilities_and_equity,operating_expense_._assets,percent_of_female_borrowers,average_loan_balance_per_borrower,gross_loan_portfolio_to_total_assets,operational_self_sufficiency,lassets,debt_to_equity_ratio,donations_assets_ratio,capital_.asset_ratio,asset_structure,kkm,education,finefftheta_hat,se_no_breadththeta_hat,se_with_breadththeta_hat,finsoc_with_breadththeta_hat,finsoc_no_breadththeta_hat
102051,2007,3818735,0.23,0.601,566,0.4521,1.2139,6.58191952168024,9.33,0,0.0968,0.0318212706563823,-3.29975725366425,0.474279970797708,0.40706549122704416,0.9241987997640968,0.9241987997640969,0.9241987997640968,0.9241987997640966
102051,2008,3148992,0.2264,0.9001,1876,0.5367,1.2007,6.49817155731477,6.33,0,0.1364,0.0318819482551877,-2.98238133811064,0.468744543321818,0.40911644485452187,0.9817555578405857,0.9817555578405857,0.9817555578405857,0.9817555578405857
102051,2009,3148992,0.2264,0.9001,1148,0.5367,1.2007,6.49817155731477,6.33,0,0.1364,0.0318819482551877,-3.18300665836828,0.486611428149229,0.40911644485452187,0.9817555578405857,0.9817555578405857,0.9817555578405857,0.9817555578405857
102052,2005,449232,0.08145,0.9942,104,0.0791,1.0005,5.65247068465183,5.91,4.71916515297218e-4,0.1448,0.0793509812301884,-2.29173847418233,0.462569251581457,0.42634755463719803,0.9989532870449372,0.9989532870449372,0.9989532870449372,0.9989532870449372
102052,2006,666257,0.0801,0.7138,249,0.116,1.0429,5.82364178495456,8.75,0.00153094076309892,0.1026,0.0537345198624555,-3.26207557080417,0.458588836102967,0.4228437039592591,0.9464480618131058,0.9464480618131058,0.9464480618131058,0.9464480618131058
102052,2007,962761,0.0828,0.9472,109,0.1138,1.1817,5.98351848934308,11.4,0,0.0807,0.0330715515065525,-3.29975725366425,0.474279970797708,0.42951259133546654,0.990414810375337,0.990414810375337,0.990414810375337,0.990414810375337
102054,2005,2397078,NA,0.689,463,0.2995,1.3057,6.37968216603968,3.13,0,0.2424,0.0876116672048219,-2.29173847418233,0.462569251581457,NA,NA,NA,NA,NA
102055,2005,4571581,0.1219,0.3582,183,0.2764,1.1398,6.66006641907086,8.91,0,0.1009,0.00982111002736252,-2.29173847418233,0.462569251581457,0.413684471817149,0.8738440767836797,0.8738440767836797,0.8738440767836798,0.8738440767836795
102055,2006,5583104,0.1219,0.3675,210,0.2644,1.0837,6.74687571780304,9.99,0,0.091,0.0111192626897153,-3.26207557080417,0.458588836102967,0.4097114057005553,0.8758389728437893,0.8758389728437891,0.8758389728437893,0.8758389728437891
102055,2009,5583104,0.1219,0.3675,529,0.2644,1.0837,6.74687571780304,9.99,0,0.091,0.0111192626897153,-3.18300665836828,0.486611428149229,0.4097114057005553,0.8758389728437893,0.8758389728437893,0.8758389728437893,0.8758389728437893
102056,2005,295784,0.2655,0.9124,116,0.6818,0.9026,5.47097467777566,1.41,0.159329105022584,0.4152,0.00694087577421362,-2.29173847418233,0.462569251581457,0.42593353616193386,0.9840269387896798,0.9840269387896798,0.9840269387896796,0.9840269387896798
102056,2006,453940,0.1907,0.5263,137,0.6398,0.9933,5.65699845331759,1.68,0.0943296470899238,0.3735,0.00576507908534167,-3.26207557080417,0.458588836102967,0.42561398312068505,0.9090776085855916,0.9090776085855916,0.9090835973491823,0.9090776085855916
102056,2007,601633,0.1879,0.8079,93,0.6733,0.9998,5.77933164959961,2.04,0.0661748939968386,0.329,0.0426356267026576,-3.29975725366425,0.474279970797708,0.4213121718908129,0.9644977961246067,0.964497796124607,0.9644977961246067,0.9644977961246067
102056,2008,545367,0.2124,0.7901,93,0.8589,0.9676,5.73668885536671,2.2,0.0510335242139697,0.3125,0.0406368555486489,-2.98238133811064,0.468744543321818,0.42050733067628476,0.9611179568632008,0.9611179568632008,0.9611179568632008,0.9611179568632008
102056,2009,359532,0.2655,0.71,78,0.8304,0.8497,5.55573755064362,1.43,0.0560200482849927,0.411,0.0524821156392199,-3.18300665836828,0.486611428149229,0.41830285366143294,0.9457095934230393,0.9457095934230393,0.9457095934230395,0.9457095934230393
102056,2010,333632,0.3493,0.7989,162,0.7686,0.97,5.52326769891091,1.45,0,0.4089,0.0595956023403031,-3.26925252945547,0.486611428149229,0.4291621033137012,0.962790867925276,0.9627908679252758,0.962790867925276,0.962790867925276
102056,2011,337189,0.2676,0.7746,161,0.76,0.9456,5.52787339834528,1.93,0,0.3409,0.0651681994371109,-3.30494586565938,0.539674884561945,0.4270575769627724,0.9581618839947279,0.9581618839947279,0.9581618839947279,0.9581618839947279
102056,2012,242811,0.3737,0.7276,62,0.7686,1.0286,5.38526835757245,1.37,0,0.4212,0.050561959713522,-3.18524528684502,0.529042512877045,0.4394440511525784,0.9491235280409341,0.9491235280409339,0.9491235280409339,0.9491235280409341
102057,2005,5059245,0.1224,0.4284,327,0.2995,1.5016,6.70408571114838,5.59,0,0.1517,0.0326546747587832,-2.29173847418233,0.462569251581457,0.4379152434980668,0.8887677210540393,0.8887677210540393,0.8887677210540393,0.8887677210540393
102057,2006,6718788,0.1198,0.554,495,0.3927,1.3537,6.82729093787754,5.93,0,0.1443,0.0366332439719783,-3.26207557080417,0.458588836102967,0.42904216628132913,0.9147218406832955,0.9147218406832955,0.9147218406832955,0.9147218406832955
102057,2007,8451456,0.1224,0.4313,572,0.5154,1.3478,6.9269315347833,6.29,0,0.1372,0.0251103478501219,-3.29975725366425,0.474279970797708,0.4277963393644584,0.889377633421611,0.8893818909851058,0.8894234208812084,0.8893776334216107
102057,2009,8650254,0.1224,0.4313,192,0.4478,1.3005,6.93702885997104,4.85,0,0.171,0.0202520064728735,-3.18300665836828,0.486611428149229,0.42461227407675184,0.8893776334216108,0.8893776334216107,0.8893965047349867,0.8893776334216107
102058,2005,2938612,0.1813,0.65,202,0.4155,1.3639,6.46814224773207,6.29,3.5147536683492e-4,0.1372,0.108671372743322,-2.29173847418233,0.462569251581457,0.42107348715922777,0.9339482319963274,0.9339482319963276,0.9339482319963276,0.9339482319963274
102058,2006,3788040,0.1708,0.6315,219,0.3989,1.2947,6.57841455631,5.25,0.00966911648240251,0.16,0.134558769178784,-3.26207557080417,0.458588836102967,0.41256459537479623,0.9302827900290028,0.9302827900290028,0.9302827900290028,0.9302827900290028
102058,2007,5001773,0.1654,0.7597,385,0.5046,1.3309,6.69912397786141,4.59,3.5147536683492e-4,0.1789,0.150622589229859,-3.29975725366425,0.474279970797708,0.41320462051076956,0.9553087743318444,0.9553087743318444,0.9553087743318444,0.9553087743318444
102058,2008,5454670,0.1813,0.7003,365,0.549,1.3196,6.73676848150288,4.59,3.5147536683492e-4,0.179,0.128081992127846,-2.98238133811064,0.468744543321818,0.411658704156417,0.9438211206365943,0.9438211206365942,0.9438211206365943,0.9438211206365943
102058,2009,5454670,0.1813,0.7003,210,0.2617,1.3196,6.79557041139259,4.59,3.5147536683492e-4,0.0251,0.128081992127846,-3.18300665836828,0.486611428149229,0.411658704156417,0.9438211206365943,0.9438211206365943,0.9438211206365943,0.9438211206365943
102058,2010,5454670,0.1813,0.7003,210,0.4633,1.3196,6.85226590445324,4.59,3.5147536683492e-4,0.0261,0.128081992127846,-3.26925252945547,0.486611428149229,0.411658704156417,0.9438211206365943,0.9438211206365943,0.9438211206365943,0.9438211206365943
