"","Estimate","Std. Error","t value","Pr(>|t|)","Estimate","Std. Error","t value","Pr(>|t|)","Estimate","Std. Error","t value","Pr(>|t|)","Estimate","Std. Error","t value","Pr(>|t|)","Estimate","Std. Error","t value","Pr(>|t|)"
"debt_to_equity_ratio",-1.64046343008116e-05,1.94444672912488e-05,-0.84366591560956,0.398921678874237,-2.7926557283484e-06,1.81128487190966e-05,-0.154180922706215,0.877477191799042,-1.47505115861071e-06,1.82749422981895e-05,-0.0807144085350596,0.935674325325133,-2.77166109384066e-06,1.81848244778162e-05,-0.152416158716397,0.878868702886233,-1.44321287649739e-06,1.83606496476424e-05,-0.0786035845241844,0.937353045720216
"capital_.asset_ratio",0.0060788176330683,0.00161055691365456,3.77435754150078,0.000163447029123166,0.000451337993297003,0.0015565828681264,0.289954362558457,0.771870682815571,0.00368474255515642,0.00154869518242561,2.37925616155483,0.0174082333944026,3.70662146019466e-05,0.00155465346448595,0.023842107227544,0.980980098348742,0.00316265154653271,0.00154726756817355,2.04402367863627,0.0410361448805247
"asset_structure",-0.0789816536783392,0.0171520303193119,-4.60479909421637,4.295957395101e-06,-0.00254921945902808,0.0164859199625965,-0.154630100401542,0.877123076831542,-0.00353888427230152,0.0164568353880172,-0.215040388316597,0.829750076113657,0.000404112549445586,0.0164680273169226,0.02453922025198,0.980424090576802,0.000244450445507163,0.0164329565332801,0.0148756217429347,0.988132372891041
"kkm",0.00030414103904702,0.000917377634028387,0.331533087101194,0.740264423351067,-0.000670641758078788,0.00106189981933401,-0.631548989714863,0.527728525915901,-0.00064244297572365,0.00105899987649346,-0.606650661613762,0.544127512408501,-0.000649920946848218,0.00106387851031263,-0.610897711109168,0.541312407835519,-0.000612332821143215,0.0010616325299158,-0.576784154486844,0.564127453051468
"education",-0.0114530582091285,0.0129382144249816,-0.885211655405443,0.376111633254719,0.0376910197586686,0.0146077183852987,2.5802126495402,0.00991988064151537,0.0385365525485575,0.0145597346468357,2.64678948368972,0.00816738945139644,0.0373692721182174,0.0146286524039296,2.5545259458198,0.0106809854190398,0.0381410973706684,0.0145855346134504,2.61499481379968,0.00896641701221539
"year2000",0.00515329121815359,0.0071674019244064,0.718990126757875,0.47220158184546,-0.00631823420586368,0.00480951561399363,-1.3136944991883,0.189046939173136,-0.00621515689790814,0.0047840432350191,-1.29914312906148,0.193992117854428,-0.00628417585440861,0.00480341774790192,-1.30827177318764,0.190878831102898,-0.00616451191054398,0.00478035777467155,-1.28955032261524,0.197303721628738
"year2001",0.00537370479599241,0.00855645778345596,0.628029136821379,0.530031445102296,-0.00980469883200255,0.00547785105382764,-1.7898805089181,0.0735713896150938,-0.00964497165975817,0.00550308541200042,-1.75264800337746,0.079762001753808,-0.00981784757926545,0.00547372402510568,-1.79363218427438,0.0729700220105943,-0.00964668973120147,0.00549902099396038,-1.7542558469583,0.0794861818635865
"year2002",0.00294821762178481,0.00843240753481413,0.349629404130762,0.726640759655889,-0.0119890449086217,0.00563913250051184,-2.12604419341689,0.0335789622724459,-0.011833919839182,0.00559823603834361,-2.11386582454344,0.0346069621891018,-0.0120253327217515,0.00563464971476273,-2.13417573948657,0.0329072075512848,-0.0118497217004214,0.00559590914113855,-2.11756863836615,0.0342915919686917
"year2003",0.00285959634601436,0.00858337136355077,0.333155379733145,0.739039688483327,-0.0124710117633156,0.0058430468877097,-2.13433367949642,0.0328942747697367,-0.0122287677029413,0.00583207059890911,-2.09681407238601,0.0360914479923566,-0.0125175201954389,0.00584261346536456,-2.14245222102123,0.0322353329746645,-0.0122681416819537,0.00583343101243305,-2.10307478665746,0.035540212919618
"year2004",0.00530695926204179,0.00861785587912337,0.615809702143873,0.538065655659523,-0.0159024471399123,0.00585343686677115,-2.71677093336181,0.00662909994656933,-0.0156093355553853,0.00586087321978155,-2.66331226935618,0.00777786360175843,-0.0159860307913018,0.00585150048738081,-2.73195410745959,0.00633192548155575,-0.015681630276668,0.00586089288804316,-2.67563843534151,0.00749820816236422
